id;nom;prenoms;Genre;nomproduit;categorie;prixunitaire;dateachat
1284;Richardson;Chloe;Female;Pâté de lapin aux pistaches;Charcuterie;1800;2023-02-14 10:18:00.0000000
1285;Davis;Sarah;Female;Saucisson de Lyon;Charcuterie;1400;2023-12-18 10:54:00.0000000
1286;Hughes;Isaiah;Male;Sachet de thé à la menthe;Thé;500;2023-07-01 07:03:00.0000000
1287;Camara;Fatou;Female;Paquet de chips Tortilla;Snack;1000;2023-10-12 18:55:00.0000000
1288;Dlamini;Nkosi;Male;Bouteille de jus de pomme;Jus;1500;2023-05-26 19:13:00.0000000
1289;Howard;Bobby;Male;Sachet de lait en poudre Nido;Lait;1500;2023-02-06 07:10:00.0000000
1290;Eze;Chukwudi;Male;Pot de yaourt Danone;Produits laitiers;750;2023-03-10 04:17:00.0000000
1291;Campbell;Michelle;Female;Terrine de biche;Charcuterie;1700;2023-10-13 17:04:00.0000000
1292;Sow;Binta;Female;Soin liftant contour des yeux L'Oréal;Produits de soin pour le visage;2500;2023-07-21 06:23:00.0000000
1293;Taylor;Mason;Male;Lingettes démaquillantes réutilisables Garnier;Produits de démaquillage;800;2023-12-27 01:47:00.0000000
1294;King;Harper;Female;Jambon blanc;Charcuterie;1000;2023-05-04 10:26:00.0000000
1295;Camara;Oumar;Male;Sachet de paprika;Condiment;500;2023-11-16 21:38:00.0000000
1296;Nelson;Zoe;Female;Saucisson à la figue;Charcuterie;1600;2023-11-08 07:20:00.0000000
1297;Lopez;Angela;Female;Crème solaire enfant biodégradable Uriage;Produits de protection solaire;2000;2023-10-31 02:39:00.0000000
1298;Boateng;Kwaku;Male;Sachet de sel;Condiment;500;2023-03-12 21:08:00.0000000
1299;Adebayo;Babajide;Male;Terrine de pigeon;Charcuterie;1700;2023-02-20 15:40:00.0000000
1300;Ward;Jenna;Female;Saucisson à l'ail;Charcuterie;1300;2023-03-13 15:52:00.0000000
1301;Tetteh;Jabari;Male;Pâté de lièvre;Charcuterie;1800;2023-09-24 02:41:00.0000000
1302;Ibrahim;Fatimah;Female;Saucisse de foie;Charcuterie;1800;2023-03-31 02:37:00.0000000
1303;Anderson;Robert;Male;Baume après-rasage hydratant Nivea;Produits de rasage;700;2023-05-24 15:42:00.0000000
1304;Nwachukwu;Chinelo;Female;Pâté de marcassin aux champignons;Charcuterie;1800;2023-11-17 14:07:00.0000000
1305;Davis;Sarah;Female;Crème de jour anti-taches Nivea;Produits de soin pour le visage;1200;2023-03-05 05:55:00.0000000
1306;Zulu;Sibongile;Female;Coppa;Charcuterie;1600;2023-12-10 01:09:00.0000000
1307;Carter;Andrew;Male;Baume après-rasage hydratant Nivea;Produits de rasage;700;2023-12-05 03:29:00.0000000
1308;Lopez;Amanda;Female;Boîte de pâte de tomate;Condiment;750;2023-06-06 18:27:00.0000000
1309;Jones;Liam;Male;Lotion apaisante après-rasage Nivea;Produits de rasage;700;2023-03-18 23:09:00.0000000
1310;Onyeama;Ngozi;Female;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2023-07-25 06:26:00.0000000
1311;Nnamdi;Emeka;Male;Paquet de biscuits au chocolat;Biscuits;1000;2023-08-27 00:53:00.0000000
1312;Nelson;Philip;Male;Sac de croquettes pour chien Pedigree;Animaux;2000;2023-05-28 19:30:00.0000000
1313;Boateng;Adjoa;Female;Pain de mie Jacques;Alimentation;750;2023-05-26 19:56:00.0000000
1314;Howard;Emily;Female;Crème solaire enfants Uriage;Produits de protection solaire;2000;2023-11-02 13:56:00.0000000
1315;Martinez;Timothy;Male;Paquet de muesli;Alimentation;1000;2023-02-27 11:51:00.0000000
1316;Eze;Chukwudi;Male;Rillettes de lapin;Charcuterie;1300;2023-07-06 02:44:00.0000000
1317;Mitchell;Donna;Female;Boîte de céréales pour petit déjeuner;Alimentation;1500;2023-08-08 19:13:00.0000000
1318;Davis;Sarah;Female;Poulet entier fermier;Viande;3000;2023-08-17 23:19:00.0000000
1319;Turner;Robert;Male;Gel douche relaxant L'Occitane;Produits de douche;1200;2023-04-04 22:15:00.0000000
1320;Moore;Samantha;Female;Démaquillant waterproof Maybelline;Produits de démaquillage;1200;2023-03-29 13:20:00.0000000
1321;Nelson;Zoe;Female;Rillettes de thon au basilic;Charcuterie;1500;2023-03-12 20:23:00.0000000
1322;Bah;Nabila;Female;Rillettes de canard;Charcuterie;1400;2023-11-26 06:01:00.0000000
1323;Diallo;Nadia;Female;Démaquillant bi-phasé waterproof Nivea;Produits de démaquillage;1200;2023-07-29 12:49:00.0000000
1324;Dlamini;Ayanda;Female;Shampooing hydratant Timotei;Produits de soin capillaire;1500;2023-04-07 05:48:00.0000000
1325;Smith;John;Male;Rillettes d'oie;Charcuterie;1500;2023-03-30 00:04:00.0000000
1326;Toure;Sekou;Male;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2023-04-01 07:13:00.0000000
1327;Diallo;Fatima;Female;Gel coiffant effet mouillé Schwarzkopf;Produits de coiffure;1500;2023-09-01 07:42:00.0000000
1328;Mohammed;Yaa;Female;Pâté de perdreau;Charcuterie;1800;2023-04-25 20:01:00.0000000
1329;Camara;Fanta;Female;Saucisse au poivre;Charcuterie;1600;2023-04-10 19:23:00.0000000
1330;Taylor;Sarah;Female;Crème solaire Nivea;Produits de protection solaire;2000;2023-07-07 06:33:00.0000000
1331;Sankoh;Amara;Male;Sachet de sucre roux;Sucrerie;500;2023-09-29 05:19:00.0000000
1332;Thompson;Jose;Male;Pâté de marcassin aux airelles;Charcuterie;1800;2023-08-20 21:07:00.0000000
1333;Diaz;Martha;Female;Sachet de riz Mama Africa;Alimentation;2000;2023-09-22 21:52:00.0000000
1334;Lee;Matthew;Male;Pâté de sanglier;Charcuterie;1800;2023-09-24 14:23:00.0000000
1335;Hill;Tiffany;Female;Barre de chocolat Milka;Chocolat;750;2023-12-09 14:01:00.0000000
1336;Hall;Anna;Female;Soin anti-rides contour des yeux L'Oréal;Produits de soin pour le visage;2500;2023-10-09 05:46:00.0000000
1337;Dlamini;Nkosi;Male;Sachet de paprika;Condiment;500;2023-10-21 18:45:00.0000000
1338;Murphy;Owen;Male;Rillettes de canard au poivre vert;Charcuterie;1500;2023-12-27 14:40:00.0000000
1339;Nwadike;Nneka;Female;Sac de croquettes pour chat Whiskas;Animaux;1500;2023-07-26 19:24:00.0000000
1340;Coleman;Aaron;Male;Baume après-rasage sans alcool Nivea;Produits de rasage;700;2023-09-23 06:51:00.0000000
1341;Mensah;Kwame;Male;Sachet de lessive Skip;Hygiène;750;2023-02-14 15:57:00.0000000
1342;Zulu;Sibongile;Female;Saucisson aux noisettes;Charcuterie;1400;2023-02-21 10:20:00.0000000
1343;Jackson;David;Male;Terrine de sanglier;Charcuterie;1700;2023-05-25 19:15:00.0000000
1344;Butler;Nathan;Male;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2023-08-09 01:40:00.0000000
1345;Adams;Avery;Female;Dentifrice bio Logodent;Produits d'hygiène dentaire;500;2023-07-12 20:16:00.0000000
1346;Sankoh;Amara;Female;Baume pour les lèvres Carmex;Produits de soin des lèvres;700;2023-11-19 22:47:00.0000000
1347;Sankoh;Amara;Male;Déodorant bille fraîcheur Nivea;Produits d'hygiène;800;2023-02-08 20:46:00.0000000
1348;Camara;Fatoumata;Female;Rillettes de thon au citron;Charcuterie;1500;2023-04-01 06:05:00.0000000
1349;Mohammed;Fatimah;Female;Jambon des Ardennes;Charcuterie;2000;2023-04-03 11:23:00.0000000
1350;Osei;Kwabena;Male;Baume après-rasage hydratant Nivea;Produits de rasage;700;2023-09-03 09:54:00.0000000
1351;Amponsah;Kwaku;Female;Pâté de faisan;Charcuterie;1800;2023-08-16 10:22:00.0000000
1352;Wood;Erica;Female;Sachet de chips au fromage;Snack;1000;2023-12-09 03:00:00.0000000
1353;Jalloh;Jelani;Male;Jambon cru;Charcuterie;1700;2023-10-09 00:25:00.0000000
1354;Martin;Richard;Male;Démaquillant yeux waterproof Garnier;Produits de démaquillage;1200;2023-03-02 09:37:00.0000000
1355;Diallo;Nadia;Female;Sérum hydratant Vichy;Produits de soin pour le visage;3000;2023-01-02 18:10:00.0000000
1356;Bello;Aminata;Female;Bouteille de sauce tomate;Condiment;500;2023-01-03 08:18:00.0000000
1357;Jalloh;Saidi;Male;Terrine de sanglier;Charcuterie;1700;2023-05-29 18:35:00.0000000
1358;Mitchell;Donna;Female;Gel douche Nivea;Produits de douche;1200;2023-05-28 08:16:00.0000000
1359;Sise;Omaru;Male;Saucisson à la pistache;Charcuterie;1400;2023-12-12 22:49:00.0000000
1360;Flores;Katelyn;Female;Crème de nuit régénérante L'Oréal;Produits de soin pour le visage;1200;2023-01-21 18:05:00.0000000
1361;Barnes;Samantha;Female;Saucisse sèche;Charcuterie;1700;2023-10-26 14:09:00.0000000
1362;Miller;Hazel;Female;Lingettes démaquillantes à l'eau micellaire Garnier;Produits de démaquillage;800;2023-02-17 10:07:00.0000000
1363;Nwachukwu;Chinelo;Female;Jambon de la Dombes;Charcuterie;2000;2023-06-18 04:47:00.0000000
1364;Taylor;Mary;Female;Bouteille de jus d'orange Jafpp;Jus;1500;2023-12-16 17:48:00.0000000
1365;Traoré;Bintou;Female;Saucisson aux noisettes;Charcuterie;1400;2023-12-27 16:26:00.0000000
1366;Brown;Noah;Male;Terrine de faisan aux raisins;Charcuterie;1700;2023-07-31 02:59:00.0000000
1367;Russell;Helen;Female;Démaquillant Garnier;Produits de démaquillage;1200;2023-02-10 00:01:00.0000000
1368;Sankoh;Amara;Male;Terrine de sanglier;Charcuterie;1700;2023-10-30 23:21:00.0000000
1369;Jalloh;Saidi;Male;Rillettes d'oie;Charcuterie;1500;2023-10-14 12:22:00.0000000
1370;Murphy;Cynthia;Female;Boudin noir;Charcuterie;1500;2023-09-09 00:45:00.0000000
1371;Adams;Avery;Female;Dentifrice blanchissant Colgate;Produits d'hygiène dentaire;500;2023-10-06 00:37:00.0000000
1372;Hill;Anthony;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2023-07-16 23:11:00.0000000
1373;Barnes;Samantha;Female;Soin hydratant intense pour le visage Nivea;Produits de soin pour le visage;2500;2023-02-13 20:56:00.0000000
1374;James;Gabriel;Male;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2023-11-07 15:15:00.0000000
1375;Ba;Adama;Female;Sachet de popcorn;Snack;500;2023-11-07 23:58:00.0000000
1376;Balogun;Babatunde;Male;Rillettes de poisson;Charcuterie;1300;2023-09-08 06:11:00.0000000
1377;Adeyemi;Kemi;Female;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2023-05-07 19:40:00.0000000
1378;Bah;Nabila;Female;Boîte de conserve de thon Petit Navire;Poisson;1000;2023-05-28 16:20:00.0000000
1379;King;Harper;Female;Paquet de riz long grain;Alimentation;1000;2023-08-28 09:45:00.0000000
1380;Hill;Abigail;Female;Saucisse de volaille;Charcuterie;1600;2023-05-02 09:06:00.0000000
1381;Nwadike;Ngozi;Female;Rillettes de saumon;Charcuterie;1500;2023-05-23 23:48:00.0000000
1382;Camara;Fatoumata;Female;Sachet de pâtes de curry rouge;Condiment;750;2023-03-06 09:00:00.0000000
1383;Kamara;Nadia;Female;Jambon de Parme;Charcuterie;2000;2023-03-05 22:46:00.0000000
1384;Ogunjobi;Tunde;Male;Lait hydratant pour le corps Johnson's;Produits de soin pour le corps;1000;2023-03-17 10:04:00.0000000
1385;Sankoh;Amara;Male;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2023-04-26 13:50:00.0000000
1386;Nelson;Julie;Female;Lingettes démaquillantes à l'eau micellaire Garnier;Produits de démaquillage;800;2023-10-13 17:15:00.0000000
1387;Chukwu;Mamoudou;Male;Jambon de Savoie;Charcuterie;2000;2023-03-27 18:52:00.0000000
1388;Nkrumah;Zara;Female;Paquet de lentilles;Alimentation;750;2023-08-15 09:54:00.0000000
1389;Martinez;Joshua;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2023-09-09 17:46:00.0000000
1390;Ibrahim;Fatimah;Female;Jambon des Ardennes;Charcuterie;2000;2023-09-25 21:11:00.0000000
1391;Jones;Daniel;Male;Baume nourrissant pour les mains Nuxe;Produits de soin pour les mains;1000;2023-01-25 04:27:00.0000000
1392;Price;Brittany;Female;Shampooing anti-pelliculaire Vichy;Produits de soin capillaire;1500;2023-02-27 05:32:00.0000000
1393;King;Mila;Female;Lotion tonique adoucissante Garnier;Produits de soin pour le visage;1200;2023-02-23 09:46:00.0000000
1394;Diop;Fatoumata;Female;Saucisson aux herbes;Charcuterie;1400;2023-07-10 11:42:00.0000000
1395;Clark;Doris;Female;Pâté de chevreuil;Charcuterie;1800;2023-09-04 08:10:00.0000000
1396;Mensah;Abigail;Female;Saucisson à la pistache;Charcuterie;1400;2023-12-06 23:41:00.0000000
1397;Ross;Allison;Female;Saucisson aux herbes;Charcuterie;1400;2023-12-18 20:45:00.0000000
1398;Parker;John;Male;Gel douche exfoliant Nivea;Produits de douche;1200;2023-09-30 19:22:00.0000000
1399;Torres;Jackson;Male;Jambon de Parme;Charcuterie;2000;2023-01-09 20:17:00.0000000
1400;Morris;Gregory;Male;Sachet de thé vert;Thé;500;2023-01-25 22:47:00.0000000
1401;Bailey;Heather;Female;Saucisson à l'ail;Charcuterie;1300;2023-09-24 15:16:00.0000000
1402;Cox;Cameron;Male;Dentifrice reminéralisant Elmex;Produits d'hygiène dentaire;500;2023-03-17 19:32:00.0000000
1403;Powell;Arthur;Male;Déodorant anti-transpirant Vichy;Produits d'hygiène;800;2023-05-03 21:18:00.0000000
1404;Abubakar;Aisha;Female;Jambon de la Forêt de Marly;Charcuterie;2000;2023-06-27 01:59:00.0000000
1405;Taylor;Sarah;Female;Saucisse de foie;Charcuterie;1800;2023-10-29 01:45:00.0000000
1406;Nelson;Julie;Female;Dentifrice Signal;Produits d'hygiène dentaire;500;2023-04-25 04:59:00.0000000
1407;Bennett;Tyler;Male;Boîte de haricots verts en conserve;Condiment;750;2023-03-23 16:17:00.0000000
1408;Thomas;Jennifer;Female;Crème de jour hydratante et protectrice Nivea;Produits de soin pour le visage;1200;2023-02-23 11:17:00.0000000
1409;Ba;Adama;Female;Soin hydratant intense pour le visage Nivea;Produits de soin pour le visage;2500;2023-10-02 03:33:00.0000000
1410;Okoro;Chinedu;Male;Saucisse de Morteau;Charcuterie;1600;2023-03-01 00:22:00.0000000
1411;Okoro;Uzoma;Male;Terrine de faisan;Charcuterie;1700;2023-03-18 11:13:00.0000000
1412;Powell;Victoria;Female;Gel douche hydratant à la grenade Neutrogena;Produits de douche;1200;2023-03-07 05:56:00.0000000
1413;Adeleke;Tunde;Male;Terrine de chevreuil;Charcuterie;1700;2023-09-16 21:07:00.0000000
1414;Sise;Omaru;Male;Sachet de thé vert;Thé;500;2023-10-18 06:04:00.0000000
1415;Jones;Liam;Male;Pain de mie Jacques;Alimentation;750;2023-12-29 13:10:00.0000000
1416;Wright;Christian;Male;Jambon de la Forêt de Marly;Charcuterie;2000;2023-01-10 11:16:00.0000000
1417;Collins;Roy;Male;Shampooing fortifiant L'Oréal;Produits de soin capillaire;1800;2023-04-13 20:57:00.0000000
1418;Green;Jeffrey;Male;Coppa;Charcuterie;1600;2023-01-10 09:28:00.0000000
1419;Traoré;Sadia;Female;Saucisse au poivre;Charcuterie;1600;2023-08-28 06:33:00.0000000
1420;Parker;Charles;Male;Boîte de mouchoirs en papier Kleenex;Hygiène;1000;2023-06-10 08:35:00.0000000
1421;Nkrumah;Yaa;Female;Jambon de Parme;Charcuterie;2000;2023-11-25 06:23:00.0000000
1422;Moore;Samantha;Female;Lotion tonique adoucissante Garnier;Produits de soin pour le visage;1200;2023-08-04 20:46:00.0000000
1423;Osei;Kwabena;Male;Sachet de graines de chia;Condiment;1000;2023-01-28 09:37:00.0000000
1424;Green;Jeffrey;Male;Crème de jour anti-rides Nivea;Produits de soin pour le visage;1200;2023-07-02 06:55:00.0000000
1425;Bello;Idris;Male;Terrine de gibier;Charcuterie;1500;2023-07-02 00:36:00.0000000
1426;Onyeama;Ngozi;Female;Démaquillant pour les yeux bi-phasé Nivea;Produits de démaquillage;1200;2023-05-13 06:30:00.0000000
1427;Okoro;Uzoma;Male;Paquet de chips Lay's;Snack;750;2023-03-29 17:02:00.0000000
1428;Diagne;Fatoumata;Female;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2023-04-10 05:42:00.0000000
1429;Gonzalez;Elizabeth;Female;Démaquillant pour les yeux bi-phasé Nivea;Produits de démaquillage;1200;2023-11-18 00:17:00.0000000
1430;Nkrumah;Jabari;Male;Gel coiffant effet brillant Schwarzkopf;Produits de coiffure;1500;2023-08-04 07:03:00.0000000
1431;Reed;Justin;Male;Shampooing réparateur Elsève;Produits de soin capillaire;1500;2023-08-26 11:12:00.0000000
1432;Anang;Kwesi;Male;Paquet de chips Pringles;Snack;1000;2023-10-07 00:16:00.0000000
1433;Camara;Fanta;Female;Shampooing fortifiant L'Oréal;Produits de soin capillaire;1800;2023-06-24 08:24:00.0000000
1434;Hernandez;William;Male;Pâté de campagne;Charcuterie;1200;2023-11-09 01:43:00.0000000
1435;Chukwu;Obinna;Male;Mortadelle;Charcuterie;1700;2023-05-09 14:17:00.0000000
1436;Ibrahim;Fatimah;Female;Bouteille de vinaigre blanc;Condiment;750;2023-02-27 21:07:00.0000000
1437;Wright;Sebastian;Male;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2023-10-30 21:49:00.0000000
1438;Johnson;Emily;Female;Baume après-rasage hydratant Nivea;Produits de rasage;700;2023-05-22 09:16:00.0000000
1439;Nkrumah;Jabari;Male;Lotion anti-âge pour le visage L'Oréal;Produits de soin pour le visage;1200;2023-01-27 07:31:00.0000000
1440;Toure;Sekou;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2023-06-11 03:53:00.0000000
1441;Washington;Camila;Female;Rillettes de thon au citron;Charcuterie;1500;2023-03-20 02:29:00.0000000
1442;Chukwu;Obinna;Male;Soin anti-rides contour des yeux L'Oréal;Produits de soin pour le visage;2500;2023-11-17 00:22:00.0000000
1443;Jalloh;Saidi;Male;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2023-05-14 05:29:00.0000000
1444;Carter;Rebecca;Female;Démaquillant yeux waterproof Garnier;Produits de démaquillage;1200;2023-02-15 05:41:00.0000000
1445;Bell;Julia;Female;Terrine de gibier;Charcuterie;1500;2023-02-16 11:10:00.0000000
1446;Traoré;Sadia;Female;Pâté de lapin aux noix;Charcuterie;1800;2023-09-12 02:33:00.0000000
1447;Diallo;Fanta;Female;Crème de jour anti-rides Nivea;Produits de soin pour le visage;1200;2023-08-24 02:50:00.0000000
1448;Cissé;Aminata;Female;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2023-09-05 23:04:00.0000000
1449;Ibrahim;Fatimah;Female;Sachet de popcorn;Snack;500;2023-01-25 03:59:00.0000000
1450;Mohammed;Fatimah;Female;Boîte de mouchoirs en papier Kleenex;Hygiène;1000;2023-10-10 23:31:00.0000000
1451;Foster;Luke;Male;Mortadelle;Charcuterie;1700;2023-02-15 01:06:00.0000000
1452;Collins;Roy;Male;Terrine de perdreau;Charcuterie;1700;2023-04-29 05:20:00.0000000
1453;Ogunjobi;Tunde;Male;Crème solaire enfants Uriage;Produits de protection solaire;2000;2023-09-30 06:13:00.0000000
1454;Okoro;Uzoma;Male;Paquet de chips Tortilla;Snack;1000;2023-10-31 12:59:00.0000000
1455;Bonsu;Osei;Male;Saucisson à l'Armagnac;Charcuterie;1400;2023-04-09 18:30:00.0000000
1456;Adekunle;Femi;Male;Pâté de marcassin;Charcuterie;1900;2023-12-19 22:37:00.0000000
1457;Allen;Hunter;Male;Jambon des Ardennes;Charcuterie;2000;2023-05-30 13:51:00.0000000
1458;Diop;Emeka;Male;Crème hydratante Nivea;Produits de soin pour le corps;1000;2023-05-28 00:51:00.0000000
1459;Traoré;Bintou;Female;Jambon de la Dombes;Charcuterie;2000;2023-08-06 01:33:00.0000000
1460;Richardson;Carter;Male;Gel douche Nivea;Produits de douche;1200;2023-05-02 11:36:00.0000000
1461;Boateng;Adjoa;Female;Jambon de Luxeuil;Charcuterie;2000;2023-06-19 22:50:00.0000000
1462;Mensah;Osei;Male;Sachet de thé rooibos;Thé;500;2023-10-20 03:21:00.0000000
1463;Ndlovu;Tariq;Male;Gel douche exfoliant Nivea;Produits de douche;1200;2023-10-20 14:01:00.0000000
1464;Onyeama;Obinna;Male;Saucisse de Morteau;Charcuterie;1600;2023-01-17 02:02:00.0000000
1465;King;Kevin;Male;Dentifrice reminéralisant Elmex;Produits d'hygiène dentaire;500;2023-06-27 01:43:00.0000000
1466;Wood;Jason;Male;Sachet de levure chimique;Condiment;500;2023-03-17 03:57:00.0000000
1467;Ramirez;Peter;Male;Rillettes d'oie;Charcuterie;1500;2023-01-31 03:49:00.0000000
1468;Amponsah;Kwaku;Male;Crème réparatrice Cicabiafine;Produits de soin pour le corps;1500;2023-12-03 14:35:00.0000000
1469;Wright;Brandon;Male;Rillettes de truite;Charcuterie;1500;2023-09-14 20:39:00.0000000
1470;Mensah;Kwame;Male;Dentifrice protection gencives Parodontax;Produits d'hygiène dentaire;500;2023-02-02 23:29:00.0000000
1471;Rivera;Jacob;Male;Gel douche relaxant L'Occitane;Produits de douche;1200;2023-02-17 05:11:00.0000000
1472;Mitchell;Nathan;Male;Pot de moutarde;Condiment;500;2023-08-16 20:03:00.0000000
1473;Wilson;Ethan;Male;Pâté de lapin aux pistaches;Charcuterie;1800;2023-06-25 12:58:00.0000000
1474;Ibrahim;Fatimah;Female;Pot de confiture Bonne Maman;Condiment;1500;2023-10-24 01:29:00.0000000
1475;Amoako;Kwasi;Male;Pâté de marcassin;Charcuterie;1900;2023-03-15 08:06:00.0000000
1476;Flores;Katelyn;Female;Baume à lèvres Labello;Produits de soin des lèvres;700;2023-06-18 00:47:00.0000000
1477;Adekunle;Lamidi;Male;Saucisson à la noisette;Charcuterie;1700;2023-12-08 16:40:00.0000000
1478;Cooper;Gary;Male;Spray corporel Axe;Produits de soin pour le corps;800;2023-09-21 10:53:00.0000000
1479;Adeyemi;Oluwaseun;Male;Pâté de faisan;Charcuterie;1800;2023-04-14 10:54:00.0000000
1480;Adams;Josiah;Male;Gel douche Nivea;Produits de douche;1200;2023-07-20 09:45:00.0000000
1481;Lewis;Daniel;Male;Terrine de biche;Charcuterie;1700;2023-05-01 23:37:00.0000000
1482;Okafor;Amaechi;Female;Lotion anti-imperfections Garnier;Produits de soin pour le visage;1200;2023-12-01 05:41:00.0000000
1483;Parker;John;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2023-05-21 05:12:00.0000000
1484;Watson;Evelyn;Female;Boîte de céréales Kellogg's;Céréales;1500;2023-08-29 11:33:00.0000000
1485;Turner;Ryan;Male;Démaquillant yeux bi-phasé waterproof L'Oréal;Produits de démaquillage;1200;2023-12-06 05:23:00.0000000
1486;Nwachukwu;Adanna;Female;Dentifrice blancheur Oral-B;Produits d'hygiène dentaire;500;2023-08-26 15:58:00.0000000
1487;Martinez;Taylor;Female;Boîte de kleenex;Hygiène;1000;2023-08-21 08:15:00.0000000
1488;Jane;Akafo;Female;Sac de riz Basmati;Alimentation;4000;2023-06-08 19:02:00.0000000
1489;Morris;Alyssa;Female;Saucisson à l'Espelette;Charcuterie;1400;2023-09-08 23:26:00.0000000
1490;Powell;Victoria;Female;Rillettes de volaille;Charcuterie;1500;2023-09-09 10:47:00.0000000
1491;Coleman;Aaron;Male;Saucisse de Morteau;Charcuterie;1600;2023-02-21 02:19:00.0000000
1492;Murphy;Cynthia;Female;Crème pour les pieds Scholl;Produits de soin pour les pieds;1500;2023-12-08 12:58:00.0000000
1493;Adekunle;Femi;Male;Jambon des Ardennes;Charcuterie;2000;2023-10-03 05:27:00.0000000
1494;Kamara;Nadia;Female;Shampooing volumateur Timotei;Produits de soin capillaire;1500;2023-10-13 18:34:00.0000000
1495;Anderson;Robert;Male;Rillettes de truite;Charcuterie;1500;2023-02-17 22:42:00.0000000
1496;Brown;Noah;Male;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2023-02-01 10:34:00.0000000
1497;Camara;Fatou;Female;Terrine de canard;Charcuterie;1700;2023-05-11 04:33:00.0000000
1498;Henderson;Sara;Female;Sachet de chips au fromage;Snack;1000;2023-04-13 02:19:00.0000000
1499;Osei;Kwabena;Male;Saucisse de veau;Charcuterie;1600;2023-05-03 19:30:00.0000000
1500;Lee;James;Male;Soin anti-fatigue pour le visage Nivea;Produits de soin pour le visage;2500;2023-05-22 17:07:00.0000000
1501;Nelson;Jonathan;Male;Saucisson à la noisette;Charcuterie;1700;2023-01-05 18:21:00.0000000
1502;Hughes;Roger;Male;Soin hydratant matifiant Vichy;Produits de soin pour le visage;2500;2023-01-15 21:22:00.0000000
1503;Mitchell;Nathan;Male;Rillettes d'oie;Charcuterie;1500;2023-09-20 02:19:00.0000000
1504;Abubakar;Nneka;Female;Jambon de Parme;Charcuterie;2000;2023-05-21 03:48:00.0000000
1505;Garcia;Megan;Female;Rillettes de veau;Charcuterie;1500;2023-06-12 09:04:00.0000000
1506;Mensah;Kofi;Male;Spray corporel Axe;Produits de soin pour le corps;800;2023-09-23 12:10:00.0000000
1507;Diop;Fatoumata;Female;Saucisse de dinde;Charcuterie;1600;2023-07-18 08:12:00.0000000
1508;Diop;Sekou;Male;Sachet de graines de sésame;Condiment;750;2023-09-18 14:39:00.0000000
1509;Abubakar;Jamila;Female;Dentifrice blancheur Oral-B;Produits d'hygiène dentaire;500;2023-08-19 05:16:00.0000000
1510;Clark;Scott;Male;Paquet de biscuits au chocolat;Biscuits;1000;2023-12-28 16:53:00.0000000
1511;Wood;Erica;Female;Paquet de pâtes Barilla;Alimentation;1000;2023-06-08 05:26:00.0000000
1512;Howard;Emily;Female;Pot de mayonnaise Amora;Condiment;1000;2023-11-21 22:31:00.0000000
1513;Diallo;Nadia;Female;Pâté de porc;Charcuterie;1200;2023-05-21 00:12:00.0000000
1514;Adebayo;Babajide;Male;Boîte de céréales Kellogg's;Céréales;1500;2023-05-01 10:46:00.0000000
1515;Onyeama;Ngozi;Female;Baume réparateur pour les mains Biafine;Produits de soin pour les mains;1000;2023-11-04 00:20:00.0000000
1516;Chukwu;Obinna;Male;Pot de crème hydratante Nivea;Hygiène;1500;2023-06-01 05:34:00.0000000
1517;Chukwu;Obinna;Male;Crème de nuit nourrissante Nivea;Produits de soin pour le visage;1200;2023-03-03 13:24:00.0000000
1518;Barnes;Dylan;Male;Sachet de pâtes de curry rouge;Condiment;750;2023-03-09 11:52:00.0000000
1519;Richardson;Joseph;Male;Spray corporel Axe;Produits de soin pour le corps;800;2023-04-22 16:03:00.0000000
1520;Onyeama;Ngozi;Female;Déodorant bille sans parfum Vichy;Produits d'hygiène;800;2023-09-14 18:08:00.0000000
1521;Perez;Peyton;Female;Dentifrice blancheur Oral-B;Produits d'hygiène dentaire;500;2023-01-10 02:25:00.0000000
1522;Adeyemi;Kemi;Female;Démaquillant Garnier;Produits de démaquillage;1200;2023-12-24 12:42:00.0000000
1523;Boateng;Kwaku;Male;Boîte de thé matcha;Thé;1500;2023-09-16 04:30:00.0000000
1524;Price;Willie;Male;Sac de croquettes pour chat Whiskas;Animaux;1500;2023-06-16 02:38:00.0000000
1525;Allen;Hunter;Male;Mortadelle;Charcuterie;1700;2023-03-26 00:15:00.0000000
1526;Sow;Binta;Female;Crème solaire enfant biodégradable Uriage;Produits de protection solaire;2000;2023-04-14 09:25:00.0000000
